,song,artist,album,duration,track_num,release_date,popularity,danceability,energy,key,key_confidence,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Song,Main composer,Singer
0,FROM ME TO YOU,The Beatles,1,116160,2,1963,59,0.581,0.821,0,0,1,0.0318,0.507,0,0.108,0.968,136.145,FROM ME TO YOU,Lennon/McCartney,Lennon/McCartney
1,SHE LOVES YOU,The Beatles,1,140920,3,1963,66,0.377,0.916,4,0,0,0.0481,0.26,0,0.074,0.912,75.533,SHE LOVES YOU,Lennon/McCartney,Lennon/McCartney
2,I WANT TO HOLD YOUR HAND,The Beatles,1,145746,4,1963,71,0.49,0.715,7,0.56,1,0.0476,0.386,0,0.311,0.866,130.726,I WANT TO HOLD YOUR HAND,Lennon/McCartney,Lennon/McCartney
3,I FEEL FINE,The Beatles,1,139346,7,1964,63,0.564,0.827,7,1,1,0.0283,0.0904,3.73E-06,0.127,0.912,89.847,I FEEL FINE,Lennon,Lennon
4,DAY TRIPPER,The Beatles,1,169000,12,1965,64,0.665,0.782,6,0.521,0,0.0307,0.12,4.19E-06,0.125,0.731,137.453,DAY TRIPPER,Lennon,Lennon/McCartney
5,WE CAN WORK IT OUT,The Beatles,1,135693,13,1965,61,0.378,0.677,2,0.593,1,0.0298,0.0635,0,0.183,0.648,106.071,WE CAN WORK IT OUT,Lennon/McCartney,McCartney
6,PAPERBACK WRITER,The Beatles,1,138200,14,1966,61,0.472,0.856,7,1,1,0.0562,0.147,2.78E-06,0.595,0.841,78.696,PAPERBACK WRITER,McCartney,McCartney
7,LADY MADONNA,The Beatles,1,136826,20,1968,61,0.65,0.777,2,0.375,1,0.0294,0.141,0.343,0.215,0.574,109.608,LADY MADONNA,McCartney,McCartney
8,HEY JUDE,The Beatles,1,425653,21,1968,74,0.386,0.607,10,0.144,1,0.0261,0.0112,1.38E-05,0.088,0.532,147.207,HEY JUDE,McCartney,McCartney
9,THE BALLAD OF JOHN AND YOKO,The Beatles,1,179480,23,1969,57,0.651,0.892,4,0.603,1,0.0313,0.00465,2.85E-06,0.127,0.962,135.309,THE BALLAD OF JOHN AND YOKO,Lennon,Lennon
10,TWO OF US,The Beatles,Let It Be,216813,1,1970,59,0.726,0.702,7,0.738,1,0.032,0.0974,3.46E-05,0.239,0.931,109.114,TWO OF US,McCartney,Lennon/McCartney
11,DIG A PONY,The Beatles,Let It Be,235000,2,1970,55,0.538,0.478,11,0.413,0,0.0388,0.472,0,0.17,0.527,59.004,DIG A PONY,Lennon,Lennon
12,ACROSS THE UNIVERSE,The Beatles,Let It Be,228133,3,1970,66,0.257,0.412,1,0.838,1,0.0287,0.361,8.68E-05,0.0702,0.858,152.126,ACROSS THE UNIVERSE,Lennon,Lennon
13,I ME MINE,The Beatles,Let It Be,145586,4,1970,56,0.291,0.638,9,0.526,0,0.0554,0.179,0,0.101,0.525,185.235,I ME MINE,Harrison,Harrison
14,DIG IT,The Beatles,Let It Be,50466,5,1970,49,0.54,0.489,5,0.667,1,0.117,0.659,0.0019,0.457,0.67,157.03,DIG IT,Lennon,Lennon
15,LET IT BE,The Beatles,Let It Be,243026,6,1970,78,0.443,0.403,0,0.842,1,0.0322,0.631,0,0.111,0.41,143.462,LET IT BE,McCartney,McCartney
16,MAGGIE MAE,The Beatles,Let It Be,40040,7,1970,51,0.516,0.515,2,1.454,0,0.215,0.379,0,0.103,0.524,169.039,MAGGIE MAE,Trad.,Lennon/McCartney
17,I'VE GOT A FEELING,The Beatles,Let It Be,217560,8,1970,58,0.44,0.609,2,0.478,1,0.0358,0.0715,0,0.582,0.364,165.156,I'VE GOT A FEELING,Lennon/McCartney,Lennon/McCartney
18,ONE AFTER 909,The Beatles,Let It Be,173960,9,1970,52,0.554,0.828,4,0.331,1,0.0739,0.0307,0,0.907,0.888,90.95,ONE AFTER 909,Lennon,Lennon/McCartney
19,THE LONG AND WINDING ROAD,The Beatles,Let It Be,218186,10,1970,64,0.299,0.329,3,0.389,1,0.0279,0.756,0.0105,0.0559,0.392,132.282,THE LONG AND WINDING ROAD,McCartney,McCartney
20,FOR YOU BLUE,The Beatles,Let It Be,152213,11,1970,52,0.88,0.556,2,0.676,1,0.0855,0.24,0.0483,0.24,0.955,128.542,FOR YOU BLUE,Harrison,Harrison
21,GET BACK,The Beatles,Let It Be,189386,12,1970,67,0.761,0.592,2,0.907,1,0.0586,0.492,0.00626,0.61,0.332,123.095,GET BACK,McCartney,McCartney
22,COME TOGETHER,The Beatles,Abbey Road,259946,1,1969,78,0.533,0.376,9,0.637,0,0.0393,0.0302,0.248,0.0926,0.187,165.007,COME TOGETHER,Lennon,Lennon
23,SOMETHING,The Beatles,Abbey Road,182293,2,1969,72,0.396,0.338,0,0.489,1,0.0304,0.198,2.62E-06,0.138,0.377,133.522,SOMETHING,Harrison,Harrison
24,MAXWELL'S SILVER HAMMER,The Beatles,Abbey Road,207920,3,1969,59,0.764,0.426,2,0.406,1,0.0405,0.629,0.000119,0.132,0.726,131.12,MAXWELL'S SILVER HAMMER,McCartney,McCartney
25,OH! DARLING,The Beatles,Abbey Road,207240,4,1969,67,0.422,0.656,4,0.482,1,0.0397,0.0126,0.0279,0.268,0.549,173.93,OH! DARLING,McCartney,McCartney
26,OCTOPUS'S GARDEN,The Beatles,Abbey Road,170720,5,1969,62,0.626,0.512,1,0.438,0,0.0247,0.155,4.65E-05,0.215,0.73,92.225,OCTOPUS'S GARDEN,Starr,Starr
27,I WANT YOU (SHE'S SO HEAVY),The Beatles,Abbey Road,467320,6,1969,62,0.37,0.515,2,0.252,0,0.0321,0.0233,0.205,0.0966,0.42,115.732,I WANT YOU (SHE'S SO HEAVY),Lennon,Lennon
28,HERE COMES THE SUN,The Beatles,Abbey Road,185733,7,1969,82,0.557,0.54,9,0.84,1,0.0347,0.0339,0.00248,0.179,0.394,129.171,HERE COMES THE SUN,Harrison,Harrison
29,BECAUSE,The Beatles,Abbey Road,165666,8,1969,59,0.328,0.249,2,0.56,1,0.0272,0.754,5.77E-06,0.134,0.162,81.257,BECAUSE,Lennon,Lennon/McCartney/Harrison
30,YOU NEVER GIVE ME YOUR MONEY,The Beatles,Abbey Road,242973,9,1969,58,0.335,0.416,0,0.379,1,0.0348,0.345,0.136,0.116,0.223,174.464,YOU NEVER GIVE ME YOUR MONEY,McCartney,McCartney
31,SUN KING,The Beatles,Abbey Road,146266,10,1969,56,0.483,0.177,2,0.504,1,0.0277,0.284,0.499,0.116,0.192,74.994,SUN KING,Lennon,Lennon
32,MEAN MR MUSTARD,The Beatles,Abbey Road,66533,11,1969,55,0.676,0.596,4,0.482,1,0.0272,0.0699,1.96E-05,0.351,0.97,100.687,MEAN MR MUSTARD,Lennon,Lennon
33,POLYTHENE PAM,The Beatles,Abbey Road,72640,12,1969,55,0.474,0.939,11,0.566,0,0.199,0.00472,0.674,0.19,0.499,166.829,POLYTHENE PAM,Lennon,Lennon
34,SHE CAME IN THROUGH THE BATHROOM WINDOW,The Beatles,Abbey Road,118626,13,1969,58,0.53,0.72,2,0.769,1,0.0338,0.00376,3.38E-05,0.314,0.69,80.652,SHE CAME IN THROUGH THE BATHROOM WINDOW,McCartney,McCartney
35,GOLDEN SLUMBERS,The Beatles,Abbey Road,91760,14,1969,64,0.419,0.152,0,0.592,1,0.0277,0.326,0.0034,0.113,0.239,80.608,GOLDEN SLUMBERS,McCartney,McCartney
36,CARRY THAT WEIGHT,The Beatles,Abbey Road,96466,15,1969,61,0.543,0.458,0,0.405,1,0.0274,0.226,0.00663,0.298,0.704,84.319,CARRY THAT WEIGHT,McCartney,McCartney
37,THE END,The Beatles,Abbey Road,141613,16,1969,57,0.647,0.487,11,0,0,0.0689,0.00101,0.285,0.138,0.222,123.444,THE END,McCartney,McCartney
38,HER MAJESTY,The Beatles,Abbey Road,25986,17,1969,22,0.703,0.215,2,0.31,1,0.0892,0.728,1.23E-06,0.13,0.522,100.874,HER MAJESTY,McCartney,McCartney
39,ONLY A NORTHERN SONG,The Beatles,Yellow Submarine,204493,2,1969,41,0.175,0.731,9,0.511,1,0.0705,0.000341,0.000751,0.0846,0.801,209.242,ONLY A NORTHERN SONG,Harrison,Harrison
40,ALL TOGETHER NOW,The Beatles,Yellow Submarine,130893,3,1969,44,0.587,0.431,2,0.115,1,0.0686,0.0722,0,0.561,0.778,95.937,ALL TOGETHER NOW,McCartney,McCartney
41,HEY BULLDOG,The Beatles,Yellow Submarine,191306,4,1969,53,0.587,0.617,7,0,1,0.028,0.0197,0.639,0.199,0.947,100.495,HEY BULLDOG,Lennon/McCartney,Lennon
42,IT'S ALL TOO MUCH,The Beatles,Yellow Submarine,385013,5,1969,42,0.39,0.781,7,0.614,1,0.0364,4.30E-05,0.412,0.1,0.199,113.511,IT'S ALL TOO MUCH,Harrison,Harrison
43,BACK IN THE U.S.S.R.,The Beatles,The Beatles,163453,1,1968,66,0.48,0.969,9,0.462,1,0.0854,0.069,0.00022,0.0608,0.494,142.489,BACK IN THE U.S.S.R.,McCartney,McCartney
44,DEAR PRUDENCE,The Beatles,The Beatles,235773,2,1968,61,0.388,0.529,7,0.558,1,0.0436,0.16,0.0681,0.108,0.332,150.721,DEAR PRUDENCE,Lennon,Lennon
45,GLASS ONION,The Beatles,The Beatles,137840,3,1968,55,0.523,0.51,7,0.571,0,0.0514,0.0123,8.38E-05,0.108,0.789,120.432,GLASS ONION,Lennon,Lennon
46,"OB-LA-DI, OB-LA-DA",The Beatles,The Beatles,188960,4,1968,71,0.818,0.728,10,0.803,1,0.0314,0.232,0.0642,0.251,0.975,113.059,"OB-LA-DI, OB-LA-DA",McCartney,McCartney
47,WILD HONEY PIE,The Beatles,The Beatles,52973,5,1968,49,0.792,0.763,2,0.205,1,0.0506,0.425,0.627,0.789,0.152,89.9,WILD HONEY PIE,McCartney,McCartney
48,THE CONTINUING STORY OF BUNGALOW BILL,The Beatles,The Beatles,194160,6,1968,51,0.621,0.459,0,0.48,1,0.104,0.224,0,0.656,0.648,114.816,THE CONTINUING STORY OF BUNGALOW BILL,Lennon,Lennon
49,WHILE MY GUITAR GENTLY WEEPS,The Beatles,The Beatles,285000,7,1968,70,0.453,0.654,4,0.164,0,0.0317,0.0205,0.00395,0.172,0.702,115,WHILE MY GUITAR GENTLY WEEPS,Harrison,Harrison
50,HAPPINESS IS A WARM GUN,The Beatles,The Beatles,164546,8,1968,58,0.431,0.54,9,0.389,0,0.0589,0.523,1.34E-06,0.169,0.44,139.288,HAPPINESS IS A WARM GUN,Lennon,Lennon
51,MARTHA MY DEAR,The Beatles,The Beatles,148573,9,1968,55,0.472,0.292,10,0.39,1,0.0321,0.872,0.0007,0.128,0.824,177.624,MARTHA MY DEAR,McCartney,McCartney
52,I'M SO TIRED,The Beatles,The Beatles,123493,10,1968,56,0.433,0.483,9,0.673,1,0.175,0.656,2.64E-05,0.539,0.717,68.492,I'M SO TIRED,Lennon,Lennon
53,BLACKBIRD,The Beatles,The Beatles,138386,11,1968,74,0.686,0.127,7,0.857,1,0.0342,0.754,1.41E-05,0.0573,0.372,93.699,BLACKBIRD,McCartney,McCartney
54,PIGGIES,The Beatles,The Beatles,124266,12,1968,50,0.542,0.445,8,0.614,1,0.0303,0.643,0,0.516,0.52,93.245,PIGGIES,Harrison,Harrison
55,ROCKY RACCOON,The Beatles,The Beatles,213106,13,1968,57,0.599,0.363,7,0.777,1,0.0315,0.333,0,0.243,0.648,79.456,ROCKY RACCOON,McCartney,McCartney
56,DON'T PASS ME BY,The Beatles,The Beatles,230453,14,1968,50,0.599,0.537,0,1,1,0.0254,0.594,1.92E-05,0.194,0.946,84.895,DON'T PASS ME BY,Starr,Starr
57,WHY DON'T WE DO IT IN THE ROAD?,The Beatles,The Beatles,101160,15,1968,50,0.589,0.522,2,0.908,1,0.0521,0.53,0.000243,0.0993,0.957,187.688,WHY DON'T WE DO IT IN THE ROAD?,McCartney,McCartney
58,I WILL,The Beatles,The Beatles,105933,16,1968,63,0.631,0.387,5,0.622,1,0.0262,0.742,0.000406,0.0822,0.832,103.11,I WILL,McCartney,McCartney
59,JULIA,The Beatles,The Beatles,176666,17,1968,55,0.512,0.0953,2,0.466,1,0.0304,0.828,0.000268,0.117,0.193,134.706,JULIA,Lennon,Lennon
60,BIRTHDAY,The Beatles,The Beatles,163080,1,1968,53,0.541,0.727,2,0.433,1,0.0384,7.37E-05,0.717,0.232,0.91,139.239,BIRTHDAY,McCartney,Lennon/McCartney
61,YER BLUES,The Beatles,The Beatles,240453,2,1968,51,0.327,0.525,9,0.39,1,0.0475,0.000875,0.259,0.133,0.435,151.766,YER BLUES,Lennon,Lennon
62,MOTHER NATURE'S SON,The Beatles,The Beatles,168026,3,1968,53,0.608,0.178,2,0.952,1,0.0264,0.634,0.352,0.166,0.401,84.78,MOTHER NATURE'S SON,McCartney,McCartney
63,EVERYBODY'S GOT SOMETHING TO HIDE EXCEPT ME AND MY MONKEY,The Beatles,The Beatles,144773,4,1968,49,0.523,0.731,2,0.382,1,0.0559,0.0207,0.000464,0.081,0.81,117.089,EVERYBODY'S GOT SOMETHING TO HIDE EXCEPT ME AND MY MONKEY,Lennon,Lennon
64,SEXY SADIE,The Beatles,The Beatles,195266,5,1968,51,0.577,0.624,0,0.458,1,0.0285,0.33,0.00622,0.117,0.671,75.478,SEXY SADIE,Lennon,Lennon
65,HELTER SKELTER,The Beatles,The Beatles,269786,6,1968,63,0.166,0.831,9,0.464,1,0.0894,0.000606,0.846,0.811,0.281,167.518,HELTER SKELTER,McCartney,McCartney
66,"LONG, LONG, LONG",The Beatles,The Beatles,186306,7,1968,50,0.349,0.129,5,0.908,1,0.0294,0.539,0.405,0.192,0.163,104.837,"LONG, LONG, LONG",Harrison,Harrison
67,REVOLUTION 1,The Beatles,The Beatles,255706,8,1968,51,0.386,0.626,9,0.415,1,0.0377,0.0785,0.00164,0.621,0.695,98.425,REVOLUTION 1,Lennon,Lennon
68,HONEY PIE,The Beatles,The Beatles,161160,9,1968,51,0.537,0.297,7,0.578,1,0.0822,0.88,1.50E-05,0.145,0.553,144.197,HONEY PIE,McCartney,McCartney
69,SAVOY TRUFFLE,The Beatles,The Beatles,174466,10,1968,48,0.623,0.544,11,0.542,0,0.0536,0.00814,0.309,0.134,0.793,120.761,SAVOY TRUFFLE,Harrison,Harrison
70,CRY BABY CRY,The Beatles,The Beatles,182080,11,1968,50,0.517,0.529,9,0.34,0,0.0323,0.115,0.00396,0.174,0.362,76.644,CRY BABY CRY,Lennon,Lennon
71,REVOLUTION 9,The Beatles,The Beatles,502013,12,1968,45,0.208,0.615,2,0.268,0,0.342,0.769,0.118,0.824,0.101,91.158,REVOLUTION 9,Lennon,Lennon
72,GOOD NIGHT,The Beatles,The Beatles,193760,13,1968,49,0.146,0.355,7,0.749,1,0.0352,0.865,0.835,0.114,0.178,146.408,GOOD NIGHT,Lennon,Starr
73,MAGICAL MYSTERY TOUR,The Beatles,Magical Mystery Tour,170106,1,1967,53,0.297,0.613,9,0.612,1,0.0931,0.0385,3.98E-05,0.0734,0.338,170.962,MAGICAL MYSTERY TOUR,McCartney,McCartney
74,THE FOOL ON THE HILL,The Beatles,Magical Mystery Tour,179106,2,1967,57,0.356,0.26,4,0,0,0.0314,0.913,2.10E-06,0.105,0.49,144.184,THE FOOL ON THE HILL,McCartney,McCartney
75,FLYING,The Beatles,Magical Mystery Tour,135520,3,1967,50,0.551,0.395,0,0.66,1,0.0501,0.368,0.88,0.0932,0.261,92.929,FLYING,Lennon/McCartney/Harrison/Starr,
76,BLUE JAY WAY,The Beatles,Magical Mystery Tour,235066,4,1967,50,0.294,0.407,0,0.788,1,0.0308,0.0258,0.000219,0.0852,0.0378,101.052,BLUE JAY WAY,Harrison,Harrison
77,YOUR MOTHER SHOULD KNOW,The Beatles,Magical Mystery Tour,148413,5,1967,54,0.698,0.293,0,0.306,1,0.0332,0.784,0.0106,0.0936,0.724,117.613,YOUR MOTHER SHOULD KNOW,McCartney,McCartney
78,I AM THE WALRUS,The Beatles,Magical Mystery Tour,275866,6,1967,64,0.401,0.556,2,0.281,1,0.0513,0.0828,0.000359,0.589,0.654,85.206,I AM THE WALRUS,Lennon,Lennon
79,"HELLO, GOODBYE",The Beatles,Magical Mystery Tour,208840,7,1967,65,0.479,0.733,0,0.653,1,0.0256,0.306,2.40E-05,0.414,0.806,99.307,"HELLO, GOODBYE",McCartney,McCartney
80,STRAWBERRY FIELDS FOREVER,The Beatles,Magical Mystery Tour,247320,8,1967,70,0.39,0.502,10,0.629,1,0.178,0.336,0.000138,0.0713,0.289,97.871,STRAWBERRY FIELDS FOREVER,Lennon,Lennon
81,PENNY LANE,The Beatles,Magical Mystery Tour,180893,9,1967,65,0.651,0.488,9,0.281,1,0.0316,0.212,0.026,0.136,0.49,113.038,PENNY LANE,McCartney,McCartney
82,"BABY, YOU'RE A RICH MAN",The Beatles,Magical Mystery Tour,181306,10,1967,57,0.619,0.625,7,0.396,1,0.036,0.0119,1.05E-06,0.152,0.467,96.751,"BABY, YOU'RE A RICH MAN",Lennon/McCartney,Lennon/McCartney
83,ALL YOU NEED IS LOVE,The Beatles,Magical Mystery Tour,230386,11,1967,66,0.4,0.48,7,0.675,1,0.0295,0.346,3.10E-05,0.155,0.653,103.436,ALL YOU NEED IS LOVE,Lennon,Lennon
85,SGT. PEPPER'S LONELY HEARTS CLUB BAND,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,122893,1,1967,64,0.451,0.673,7,0.62,1,0.0734,0.0857,0.00225,0.797,0.583,95.513,SGT. PEPPER'S LONELY HEARTS CLUB BAND,McCartney,McCartney
86,WITH A LITTLE HELP FROM MY FRIENDS,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,164106,2,1967,66,0.705,0.515,4,0.333,1,0.0337,0.365,0,0.389,0.803,112.035,WITH A LITTLE HELP FROM MY FRIENDS,McCartney,Starr
87,LUCY IN THE SKY WITH DIAMONDS,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,208466,3,1967,68,0.311,0.325,2,1,1,0.0283,0.0469,0,0.139,0.668,65.09,LUCY IN THE SKY WITH DIAMONDS,Lennon,Lennon
88,GETTING BETTER,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,168120,4,1967,58,0.632,0.471,0,0.744,1,0.0348,0.313,5.08E-06,0.0712,0.764,121.672,GETTING BETTER,McCartney,McCartney
89,FIXING A HOLE,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,156826,5,1967,58,0.469,0.507,0,0.873,0,0.0451,0.382,0,0.0783,0.619,112.984,FIXING A HOLE,McCartney,McCartney
90,SHE'S LEAVING HOME,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,215160,6,1967,61,0.381,0.214,4,0.229,1,0.0337,0.944,0,0.106,0.393,127.581,SHE'S LEAVING HOME,McCartney,McCartney
91,BEING FOR THE BENEFIT OF MR. KITE!,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,157533,7,1967,52,0.526,0.413,0,0.399,1,0.0446,0.338,0,0.0992,0.71,111.874,BEING FOR THE BENEFIT OF MR. KITE!,Lennon,Lennon
92,WITHIN YOU WITHOUT YOU,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,304666,8,1967,57,0.352,0.479,6,0.689,1,0.0338,0.339,0.000353,0.486,0.354,126.166,WITHIN YOU WITHOUT YOU,Harrison,Harrison
93,WHEN I'M SIXTY FOUR,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,157666,9,1967,64,0.704,0.241,1,0.084,1,0.0476,0.625,2.80E-05,0.0868,0.661,140.411,WHEN I'M SIXTY FOUR,McCartney,McCartney
94,LOVELY RITA,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,162093,10,1967,54,0.61,0.471,8,0.686,0,0.0261,0.0634,0,0.118,0.63,87.379,LOVELY RITA,McCartney,McCartney
95,GOOD MORNING GOOD MORNING,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,161226,11,1967,49,0.542,0.618,2,0.755,1,0.139,0.0858,0,0.772,0.93,121.849,GOOD MORNING GOOD MORNING,Lennon,Lennon
