,song,artist,album,duration,track_num,release_date,popularity,danceability,energy,key,key_confidence,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Song,Main composer,Singer
96,SGT. PEPPER'S LONELY HEARTS CLUB BAND - REPRISE,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,79066,12,1967,51,0.653,0.889,0,0.462,1,0.0453,0.0061,0.589,0.892,0.879,118.773,SGT. PEPPER'S LONELY HEARTS CLUB BAND - REPRISE,McCartney,McCartney
97,A DAY IN THE LIFE,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,337413,13,1967,65,0.364,0.457,4,0.519,0,0.0675,0.29,0.000106,0.922,0.175,163.219,A DAY IN THE LIFE,Lennon/McCartney,Lennon/McCartney
98,TAXMAN,The Beatles,Revolver,158853,1,1966,61,0.469,0.596,7,0.953,1,0.0749,0.0101,0,0.321,0.783,133.586,TAXMAN,Harrison,Harrison
99,ELEANOR RIGBY,The Beatles,Revolver,126533,2,1966,69,0.581,0.28,4,0.527,0,0.0381,0.936,1.56E-05,0.305,0.813,137.831,ELEANOR RIGBY,McCartney,McCartney
100,I'M ONLY SLEEPING,The Beatles,Revolver,180320,3,1966,61,0.494,0.47,8,0,0,0.0301,0.21,0,0.28,0.698,103.477,I'M ONLY SLEEPING,Lennon,Lennon
101,LOVE YOU TO,The Beatles,Revolver,179826,4,1966,52,0.391,0.593,5,0.7,1,0.0413,0.7,0.000249,0.0829,0.707,123.986,LOVE YOU TO,Harrison,Harrison
102,"HERE, THERE AND EVERYWHERE",The Beatles,Revolver,144880,5,1966,61,0.29,0.247,7,0.575,1,0.0383,0.921,0.00565,0.0917,0.36,165.361,"HERE, THERE AND EVERYWHERE",McCartney,McCartney
103,YELLOW SUBMARINE,The Beatles,Revolver,158880,6,1966,63,0.604,0.549,1,0.738,1,0.0389,0.531,0,0.438,0.696,111.398,YELLOW SUBMARINE,McCartney,Starr
104,SHE SAID SHE SAID,The Beatles,Revolver,156040,7,1966,54,0.329,0.678,3,0.974,1,0.0344,0.103,0.168,0.843,0.672,106.476,SHE SAID SHE SAID,Lennon,Lennon
105,GOOD DAY SUNSHINE,The Beatles,Revolver,129293,8,1966,60,0.77,0.496,11,0.928,1,0.0468,0.719,0,0.123,0.571,117.331,GOOD DAY SUNSHINE,McCartney,McCartney
106,AND YOUR BIRD CAN SING,The Beatles,Revolver,120493,9,1966,59,0.555,0.65,4,0.746,1,0.0282,0.0067,0.0491,0.236,0.966,132.59,AND YOUR BIRD CAN SING,Lennon,Lennon
107,FOR NO ONE,The Beatles,Revolver,119813,10,1966,62,0.483,0.351,1,0.63,0,0.0278,0.783,0,0.115,0.713,81.208,FOR NO ONE,McCartney,McCartney
108,DOCTOR ROBERT,The Beatles,Revolver,134266,11,1966,51,0.394,0.64,4,0.537,1,0.0488,0.164,0.139,0.153,0.574,164.626,DOCTOR ROBERT,Lennon,Lennon
109,I WANT TO TELL YOU,The Beatles,Revolver,147973,12,1966,51,0.493,0.525,9,0.924,1,0.0315,0.182,4.40E-06,0.148,0.449,127.492,I WANT TO TELL YOU,Harrison,Harrison
110,GOT TO GET YOU INTO MY LIFE,The Beatles,Revolver,149240,13,1966,61,0.521,0.524,0,0.424,1,0.0302,0.42,9.27E-06,0.0838,0.711,136.679,GOT TO GET YOU INTO MY LIFE,McCartney,McCartney
111,TOMORROW NEVER KNOWS,The Beatles,Revolver,179546,14,1966,57,0.38,0.829,5,0.707,1,0.0405,8.40E-05,0.00208,0.342,0.0534,125.887,TOMORROW NEVER KNOWS,Lennon,Lennon
112,DRIVE MY CAR,The Beatles,Rubber Soul,148893,1,1965,65,0.754,0.571,2,0,1,0.0421,0.0173,0,0.3,0.82,122.463,DRIVE MY CAR,McCartney,Lennon/McCartney
113,NORWEGIAN WOOD (THIS BIRD HAS FLOWN),The Beatles,Rubber Soul,124693,2,1965,68,0.425,0.369,4,0.842,1,0.0379,0.183,0.00126,0.112,0.65,176.625,NORWEGIAN WOOD (THIS BIRD HAS FLOWN),Lennon,Lennon
114,YOU WON'T SEE ME,The Beatles,Rubber Soul,199960,3,1965,59,0.488,0.539,9,0.686,1,0.0304,0.136,0,0.0538,0.473,115.941,YOU WON'T SEE ME,McCartney,McCartney
115,NOWHERE MAN,The Beatles,Rubber Soul,163693,4,1965,63,0.534,0.624,4,0.565,1,0.0462,0.00797,0,0.128,0.687,121.402,NOWHERE MAN,Lennon,Lennon
116,THINK FOR YOURSELF,The Beatles,Rubber Soul,138520,5,1965,53,0.529,0.567,0,0.606,1,0.0282,0.0124,0,0.0729,0.799,130.544,THINK FOR YOURSELF,Harrison,Harrison
117,THE WORD,The Beatles,Rubber Soul,163106,6,1965,52,0.59,0.641,0,0.455,1,0.0416,0.00682,0,0.0553,0.792,120.773,THE WORD,Lennon/McCartney,Lennon/McCartney
118,MICHELLE,The Beatles,Rubber Soul,162373,7,1965,66,0.578,0.29,5,0.792,0,0.0341,0.652,0,0.105,0.666,117.403,MICHELLE,McCartney,McCartney
119,WHAT GOES ON,The Beatles,Rubber Soul,168573,8,1965,51,0.67,0.776,4,0.258,1,0.0749,0.0168,3.01E-06,0.0732,0.765,96.93,WHAT GOES ON,Lennon/McCartney,Starr
120,GIRL,The Beatles,Rubber Soul,151720,9,1965,62,0.699,0.294,5,0.818,0,0.0294,0.587,0,0.117,0.893,96.615,GIRL,Lennon,Lennon
121,I'M LOOKING THROUGH YOU,The Beatles,Rubber Soul,146386,10,1965,60,0.667,0.498,1,0.378,1,0.0364,0.00772,0,0.0481,0.774,85.843,I'M LOOKING THROUGH YOU,McCartney,McCartney
122,IN MY LIFE,The Beatles,Rubber Soul,146333,11,1965,73,0.688,0.435,9,0.597,1,0.0323,0.449,0,0.113,0.435,103.239,IN MY LIFE,Lennon/McCartney,Lennon
123,WAIT,The Beatles,Rubber Soul,134720,12,1965,52,0.552,0.487,6,0.589,0,0.04,0.0175,0,0.105,0.657,127.201,WAIT,Lennon/McCartney,Lennon/McCartney
124,IF I NEEDED SOMEONE,The Beatles,Rubber Soul,142266,13,1965,53,0.492,0.755,9,0.776,1,0.0331,0.00748,0,0.102,0.796,127.387,IF I NEEDED SOMEONE,Harrison,Harrison
125,RUN FOR YOUR LIFE,The Beatles,Rubber Soul,141093,14,1965,57,0.563,0.705,2,0.019,1,0.103,0.0103,0,0.0552,0.822,176.732,RUN FOR YOUR LIFE,Lennon,Lennon
126,HELP!,The Beatles,Help!,139560,1,1965,71,0.534,0.725,6,0,0,0.0332,0.188,0,0.0994,0.763,95.003,HELP!,Lennon,Lennon
127,THE NIGHT BEFORE,The Beatles,Help!,154933,2,1965,58,0.461,0.762,2,0.194,1,0.0379,0.0537,0,0.238,0.632,84.496,THE NIGHT BEFORE,McCartney,McCartney
128,YOU'VE GOT TO HIDE YOUR LOVE AWAY,The Beatles,Help!,129120,3,1965,64,0.398,0.392,7,0.892,1,0.0282,0.207,0,0.102,0.378,184.267,YOU'VE GOT TO HIDE YOUR LOVE AWAY,Lennon,Lennon
129,I NEED YOU,The Beatles,Help!,148786,4,1965,53,0.601,0.489,9,0.718,1,0.0455,0.277,0,0.0988,0.638,136.215,I NEED YOU,Harrison,Harrison
130,ANOTHER GIRL,The Beatles,Help!,125360,5,1965,49,0.516,0.638,9,0.131,1,0.0314,0.238,0,0.333,0.822,88.657,ANOTHER GIRL,McCartney,McCartney
131,YOU'RE GOING TO LOSE THAT GIRL,The Beatles,Help!,138666,6,1965,58,0.533,0.66,4,0.272,1,0.0337,0.346,0,0.26,0.818,131.975,YOU'RE GOING TO LOSE THAT GIRL,Lennon,Lennon
132,TICKET TO RIDE,The Beatles,Help!,189680,7,1965,65,0.519,0.85,9,0.394,1,0.0678,0.0457,0,0.233,0.749,123.419,TICKET TO RIDE,Lennon,Lennon
133,ACT NATURALLY,The Beatles,Help!,150373,8,1965,48,0.702,0.447,7,0.865,1,0.0308,0.366,0,0.153,0.944,93.02,ACT NATURALLY,Morrison/Russel,Starr
134,IT'S ONLY LOVE,The Beatles,Help!,116480,9,1965,51,0.629,0.551,0,0.383,1,0.0256,0.22,0,0.0432,0.685,113.155,IT'S ONLY LOVE,Lennon,Lennon
135,YOU LIKE ME TOO MUCH,The Beatles,Help!,156866,10,1965,47,0.555,0.57,7,0.636,1,0.0302,0.415,0,0.191,0.899,88.316,YOU LIKE ME TOO MUCH,Harrison,Harrison
136,TELL ME WHAT YOU SEE,The Beatles,Help!,157986,11,1965,46,0.592,0.796,7,0.477,1,0.0429,0.061,0,0.131,0.7,136.675,TELL ME WHAT YOU SEE,McCartney,McCartney
137,I'VE JUST SEEN A FACE,The Beatles,Help!,125040,12,1965,62,0.647,0.56,9,0.671,1,0.0387,0.723,0,0.118,0.913,120.418,I'VE JUST SEEN A FACE,McCartney,McCartney
138,YESTERDAY,The Beatles,Help!,125666,13,1965,76,0.332,0.179,5,0.562,1,0.0326,0.879,0,0.0886,0.315,96.529,YESTERDAY,McCartney,McCartney
139,DIZZY MISS LIZZY,The Beatles,Help!,176506,14,1965,46,0.373,0.934,9,0.645,1,0.0591,0.116,0.00445,0.0962,0.918,136.037,DIZZY MISS LIZZY,Williams,Lennon
140,NO REPLY,The Beatles,Beatles For Sale,136066,1,1964,58,0.718,0.593,0,0.683,1,0.0377,0.67,0,0.172,0.869,124.251,NO REPLY,Lennon,Lennon
141,I'M A LOSER,The Beatles,Beatles For Sale,150026,2,1964,48,0.492,0.628,7,0.605,1,0.0439,0.567,1.07E-06,0.267,0.856,89.877,I'M A LOSER,Lennon,Lennon
142,BABY'S IN BLACK,The Beatles,Beatles For Sale,124520,3,1964,48,0.374,0.596,9,0.955,1,0.0416,0.434,0,0.098,0.876,202.97,BABY'S IN BLACK,Lennon/McCartney,Lennon/McCartney
143,ROCK AND ROLL MUSIC,The Beatles,Beatles For Sale,151280,4,1964,53,0.457,0.917,9,0.728,1,0.0441,0.566,0,0.333,0.965,167.092,ROCK AND ROLL MUSIC,Berry,Lennon
144,I'LL FOLLOW THE SUN,The Beatles,Beatles For Sale,108853,5,1964,60,0.689,0.313,0,0.686,1,0.0366,0.789,0,0.144,0.625,133.754,I'LL FOLLOW THE SUN,McCartney,McCartney
145,MR MOONLIGHT,The Beatles,Beatles For Sale,158626,6,1964,45,0.631,0.424,6,0.797,1,0.0438,0.796,0.000143,0.118,0.589,126.127,MR MOONLIGHT,Johnson,Lennon
146,KANSAS CITY / HEY-HEY-HEY-HEY - MEDLEY,The Beatles,Beatles For Sale,158146,7,1964,45,0.588,0.724,7,0.368,1,0.0335,0.614,8.92E-05,0.877,0.924,131.36,KANSAS CITY / HEY-HEY-HEY-HEY - MEDLEY,Leiber/Stoller/Penniman,McCartney
147,EIGHT DAYS A WEEK,The Beatles,Beatles For Sale,163600,8,1964,65,0.652,0.583,9,0.561,1,0.038,0.412,0,0.119,0.744,138.134,EIGHT DAYS A WEEK,McCartney,Lennon/McCartney
148,WORDS OF LOVE,The Beatles,Beatles For Sale,124320,9,1964,49,0.551,0.533,9,0.932,1,0.0297,0.323,0.722,0.173,0.85,122.358,WORDS OF LOVE,Holly,Lennon
149,HONEY DON'T,The Beatles,Beatles For Sale,177426,10,1964,43,0.629,0.545,4,0.521,1,0.0348,0.473,5.08E-05,0.0854,0.735,162.438,HONEY DON'T,Perkins,Starr
150,EVERY LITTLE THING,The Beatles,Beatles For Sale,123800,11,1964,46,0.74,0.49,2,0.413,1,0.038,0.488,0,0.103,0.678,123.227,EVERY LITTLE THING,McCartney,Lennon
151,I DON'T WANT TO SPOIL THE PARTY,The Beatles,Beatles For Sale,154466,12,1964,44,0.533,0.668,7,0.678,1,0.033,0.451,0,0.149,0.889,95.438,I DON'T WANT TO SPOIL THE PARTY,Lennon,Lennon
152,WHAT YOU'RE DOING,The Beatles,Beatles For Sale,150040,13,1964,45,0.695,0.53,2,0.43,1,0.0403,0.301,2.00E-06,0.0583,0.825,129.506,WHAT YOU'RE DOING,McCartney,McCartney
153,EVERYBODY'S TRYING TO BE MY BABY,The Beatles,Beatles For Sale,146000,14,1964,44,0.543,0.806,4,0.7,1,0.0385,0.466,0,0.134,0.943,85.172,EVERYBODY'S TRYING TO BE MY BABY,Perkins,Harrison
154,A HARD DAY'S NIGHT,The Beatles,A Hard Day's Night,154200,1,1964,67,0.59,0.805,0,0.732,1,0.0371,0.137,0,0.0996,0.797,138.514,A HARD DAY'S NIGHT,Lennon,Lennon
155,I SHOULD HAVE KNOWN BETTER,The Beatles,A Hard Day's Night,163080,2,1964,60,0.682,0.444,7,0.756,1,0.0289,0.257,0,0.115,0.91,130.704,I SHOULD HAVE KNOWN BETTER,Lennon,Lennon
156,IF I FELL,The Beatles,A Hard Day's Night,139466,3,1964,62,0.665,0.31,2,0.762,1,0.0278,0.68,0,0.0877,0.568,108.211,IF I FELL,Lennon,Lennon
157,I'M HAPPY JUST TO DANCE WITH YOU,The Beatles,A Hard Day's Night,116373,4,1964,58,0.658,0.537,6,0.179,0,0.0307,0.138,0,0.0572,0.887,132.115,I'M HAPPY JUST TO DANCE WITH YOU,Lennon,Harrison
158,AND I LOVE HER,The Beatles,A Hard Day's Night,149693,5,1964,67,0.767,0.331,1,0.358,0,0.0337,0.64,0,0.0681,0.636,113.312,AND I LOVE HER,McCartney,McCartney
159,TELL ME WHY,The Beatles,A Hard Day's Night,128693,6,1964,49,0.267,0.688,11,0.263,0,0.0388,0.586,0,0.307,0.797,150.942,TELL ME WHY,Lennon,Lennon
160,CAN'T BUY ME LOVE,The Beatles,A Hard Day's Night,131866,7,1964,65,0.483,0.677,0,0.669,1,0.0593,0.283,0,0.321,0.842,170.72,CAN'T BUY ME LOVE,McCartney,McCartney
161,ANY TIME AT ALL,The Beatles,A Hard Day's Night,131280,8,1964,50,0.612,0.719,2,0.554,1,0.0398,0.366,3.88E-06,0.437,0.744,141.016,ANY TIME AT ALL,Lennon,Lennon
162,I'LL CRY INSTEAD,The Beatles,A Hard Day's Night,105986,9,1964,46,0.643,0.73,7,0.689,1,0.0347,0.0917,0,0.253,0.96,96.711,I'LL CRY INSTEAD,Lennon,Lennon
163,THINGS WE SAID TODAY,The Beatles,A Hard Day's Night,155333,10,1964,57,0.551,0.575,2,0.22,0,0.0332,0.239,0,0.112,0.516,137.054,THINGS WE SAID TODAY,McCartney,McCartney
164,WHEN I GET HOME,The Beatles,A Hard Day's Night,136640,11,1964,44,0.568,0.793,9,0.277,0,0.0482,0.384,0,0.388,0.64,125.375,WHEN I GET HOME,Lennon,Lennon
165,YOU CAN'T DO THAT,The Beatles,A Hard Day's Night,154893,12,1964,49,0.612,0.788,0,0.517,1,0.0335,0.367,0,0.382,0.961,129.161,YOU CAN'T DO THAT,Lennon,Lennon
166,I'LL BE BACK,The Beatles,A Hard Day's Night,144186,13,1964,50,0.721,0.527,9,0.761,1,0.0293,0.744,0,0.186,0.641,123.902,I'LL BE BACK,Lennon,Lennon
167,IT WON'T BE LONG,The Beatles,With The Beatles,133386,1,1963,57,0.472,0.673,4,0.235,1,0.0318,0.284,0,0.206,0.862,133.117,IT WON'T BE LONG,Lennon,Lennon
168,ALL I'VE GOT TO DO,The Beatles,With The Beatles,122573,2,1963,57,0.49,0.579,1,0.312,0,0.0344,0.217,0,0.0644,0.879,119.403,ALL I'VE GOT TO DO,Lennon,Lennon
169,ALL MY LOVING,The Beatles,With The Beatles,127853,3,1963,68,0.416,0.563,1,0.169,0,0.0298,0.207,0,0.343,0.9,77.56,ALL MY LOVING,McCartney,McCartney
170,DON'T BOTHER ME,The Beatles,With The Beatles,148253,4,1963,56,0.371,0.724,2,0.485,1,0.0562,0.554,0,0.299,0.916,170.377,DON'T BOTHER ME,Harrison,Harrison
171,LITTLE CHILD,The Beatles,With The Beatles,106400,5,1963,44,0.526,0.858,9,0.587,1,0.0476,0.292,0.001,0.353,0.886,75.596,LITTLE CHILD,Lennon/McCartney,Lennon/McCartney
172,TILL THERE WAS YOU,The Beatles,With The Beatles,133506,6,1963,62,0.727,0.338,5,0.858,1,0.0454,0.79,0,0.105,0.646,122.421,TILL THERE WAS YOU,Wilson,McCartney
173,PLEASE MISTER POSTMAN,The Beatles,With The Beatles,154160,7,1963,56,0.552,0.644,9,0.082,1,0.0372,0.675,0,0.36,0.961,122.546,PLEASE MISTER POSTMAN,Holland/Gorman,Lennon
174,ROLL OVER BEETHOVEN,The Beatles,With The Beatles,165466,8,1963,58,0.351,0.749,2,0.324,1,0.0628,0.289,0,0.0952,0.967,160.673,ROLL OVER BEETHOVEN,Berry,Harrison
175,HOLD ME TIGHT,The Beatles,With The Beatles,151906,9,1963,47,0.54,0.744,5,0.734,1,0.0312,0.664,0,0.21,0.963,135.731,HOLD ME TIGHT,McCartney,McCartney
176,YOU REALLY GOT A HOLD ON ME,The Beatles,With The Beatles,181346,10,1963,57,0.373,0.388,9,0.194,1,0.0337,0.525,0,0.267,0.687,77.643,YOU REALLY GOT A HOLD ON ME,Robinson,Lennon/Harrison
177,I WANNA BE YOUR MAN,The Beatles,With The Beatles,119506,11,1963,46,0.553,0.914,9,0.41,1,0.0415,0.477,0,0.292,0.683,99.138,I WANNA BE YOUR MAN,Lennon/McCartney,Starr
178,DEVIL IN HER HEART,The Beatles,With The Beatles,146213,12,1963,47,0.618,0.622,7,0.79,1,0.0296,0.227,0,0.0438,0.966,121.072,DEVIL IN HER HEART,Drapkin,Harrison
179,NOT A SECOND TIME,The Beatles,With The Beatles,126826,13,1963,46,0.471,0.817,7,0.01,1,0.0372,0.213,0,0.498,0.961,124.848,NOT A SECOND TIME,Lennon,Lennon
180,MONEY (THAT'S WHAT I WANT),The Beatles,With The Beatles,169506,14,1963,48,0.545,0.853,11,0.855,0,0.0394,0.425,0,0.266,0.923,128.816,MONEY (THAT'S WHAT I WANT),Bradford/Gordy,Lennon
181,I SAW HER STANDING THERE,The Beatles,Please Please Me,173946,1,1963,68,0.491,0.801,4,0.681,1,0.0361,0.27,0,0.0665,0.971,160.109,I SAW HER STANDING THERE,McCartney,McCartney
182,MISERY,The Beatles,Please Please Me,108546,2,1963,51,0.591,0.605,0,0,1,0.0413,0.707,0,0.309,0.882,133.348,MISERY,Lennon/McCartney,Lennon/McCartney
183,ANNA (GO TO HIM),The Beatles,Please Please Me,177133,3,1963,60,0.608,0.565,2,0.512,1,0.0336,0.635,0,0.0601,0.835,109.286,ANNA (GO TO HIM),Alexander,Lennon
184,CHAINS,The Beatles,Please Please Me,145080,4,1963,47,0.654,0.561,10,0.924,1,0.0304,0.608,0,0.129,0.929,129.884,CHAINS,Goffin/King,Harrison
185,BOYS,The Beatles,Please Please Me,146440,5,1963,49,0.402,0.86,4,0.503,1,0.0504,0.607,0,0.736,0.822,142.445,BOYS,Dixon/Farrell,Starr
186,ASK ME WHY,The Beatles,Please Please Me,146533,6,1963,49,0.605,0.394,4,0.508,1,0.0378,0.767,0,0.0967,0.597,133.942,ASK ME WHY,Lennon,Lennon
187,PLEASE PLEASE ME,The Beatles,Please Please Me,120853,7,1963,60,0.527,0.48,4,0.589,1,0.028,0.334,0,0.0702,0.706,139.388,PLEASE PLEASE ME,Lennon,Lennon/McCartney
188,LOVE ME DO,The Beatles,Please Please Me,141693,8,1963,67,0.52,0.829,0,0.662,1,0.0806,0.386,6.20E-05,0.227,0.744,147.997,LOVE ME DO,McCartney,Lennon/McCartney
189,P.S. I LOVE YOU,The Beatles,Please Please Me,124360,9,1963,51,0.635,0.656,2,0.712,1,0.0291,0.389,0.00127,0.0828,0.77,134.435,P.S. I LOVE YOU,McCartney,McCartney
190,BABY IT'S YOU,The Beatles,Please Please Me,160520,10,1963,58,0.608,0.494,4,0.144,0,0.0345,0.778,0,0.0926,0.879,112.421,BABY IT'S YOU,David/Williams/Bacharach,Lennon
191,DO YOU WANT TO KNOW A SECRET,The Beatles,Please Please Me,117013,11,1963,61,0.673,0.349,4,0.38,1,0.0368,0.608,0,0.38,0.609,124.451,DO YOU WANT TO KNOW A SECRET,Lennon,Harrison
192,A TASTE OF HONEY,The Beatles,Please Please Me,123480,12,1963,48,0.42,0.372,1,0.395,0,0.0327,0.698,0,0.104,0.412,101.408,A TASTE OF HONEY,Scott/Marlow,McCartney
193,THERE'S A PLACE,The Beatles,Please Please Me,110493,13,1963,48,0.455,0.582,4,0.631,1,0.0292,0.629,4.22E-06,0.172,0.927,140.928,THERE'S A PLACE,Lennon,Lennon
194,TWIST AND SHOUT,The Beatles,Please Please Me,155226,14,1963,74,0.482,0.849,2,0.741,1,0.0452,0.641,7.74E-06,0.0414,0.937,124.631,TWIST AND SHOUT,Medley/Russel,Lennon