,song,artist,album,duration,track_num,release_date,popularity,danceability,energy,key,key_confidence,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
497,"Mr. Pleasant - Live at Maida Vale Studios, 1967",The Kinks,Something Else (Deluxe Edition),168173,23,1967-09-15,13,0.613,0.629,9,0.134,0,0.0411,0.00607,0.0514,0.0768,0.911,104.98
498,"Susannah's Still Alive - Live at Maida Vale Studios, 1967",The Kinks,Something Else (Deluxe Edition),133666,24,1967-09-15,11,0.467,0.633,2,1.0,1,0.0302,0.00931,0.488,0.171,0.524,111.951
499,"David Watts - Live at Maida Vale Studios, 1967",The Kinks,Something Else (Deluxe Edition),129560,25,1967-09-15,11,0.522,0.679,2,0.665,1,0.0415,0.00176,0.187,0.395,0.912,146.685
500,"Love Me Till the Sun Shines - Live at The Playhouse Theatre, 1967",The Kinks,Something Else (Deluxe Edition),138680,26,1967-09-15,10,0.654,0.65,9,0.726,1,0.0315,0.452,0.34,0.182,0.639,106.248
501,Death of a Clown - Live At the BBC,The Kinks,Something Else (Deluxe Edition),165266,27,1967-09-15,21,0.505,0.691,0,0.86,1,0.0271,0.128,0.0,0.579,0.737,168.847
502,Good Luck Charm - BBC Live,The Kinks,Something Else (Deluxe Edition),76626,28,1967-09-15,10,0.719,0.572,7,0.807,1,0.0352,0.745,0.000329,0.364,0.862,114.767
503,Harry Rag - Live At the BBC,The Kinks,Something Else (Deluxe Edition),146680,29,1967-09-15,10,0.587,0.575,7,0.538,0,0.22,0.079,0.00895,0.0603,0.898,148.906
504,Little Women - Mono Backing Track,The Kinks,Something Else (Deluxe Edition),132520,30,1967-09-15,11,0.639,0.418,9,0.764,1,0.0265,0.477,0.861,0.106,0.509,94.667
505,David Watts - Stereo Mix,The Kinks,Something Else (Deluxe Edition),160746,1,1967-09-15,15,0.609,0.829,2,0.722,1,0.0329,0.15,8.06e-05,0.348,0.871,140.548
506,Death of a Clown - Stereo Mix,The Kinks,Something Else (Deluxe Edition),193400,2,1967-09-15,16,0.501,0.682,0,0.88,1,0.0288,0.109,4.54e-06,0.296,0.731,160.445
507,Two Sisters - Stereo Mix,The Kinks,Something Else (Deluxe Edition),121653,3,1967-09-15,14,0.589,0.674,2,0.445,1,0.0274,0.126,1.06e-05,0.17,0.481,113.126
508,No Return - Stereo Mix,The Kinks,Something Else (Deluxe Edition),119733,4,1967-09-15,13,0.606,0.465,6,0.365,1,0.0287,0.134,5.91e-05,0.114,0.408,138.189
509,Harry Rag - Stereo Mix,The Kinks,Something Else (Deluxe Edition),134573,5,1967-09-15,15,0.689,0.624,7,0.0,0,0.0648,0.211,0.0,0.0428,0.967,75.041
510,Tin Soldier Man - Stereo Mix,The Kinks,Something Else (Deluxe Edition),167400,6,1967-09-15,13,0.732,0.629,9,0.812,1,0.0417,0.628,0.000529,0.0724,0.63,132.112
511,Situation Vacant,The Kinks,Something Else (Deluxe Edition),194733,7,1967-09-15,14,0.533,0.71,4,0.677,1,0.0713,0.0143,2.49e-05,0.178,0.447,119.154
512,Love Me Till the Sun Shines - Stereo Mix,The Kinks,Something Else (Deluxe Edition),197426,8,1967-09-15,13,0.47,0.842,9,0.755,1,0.182,0.0224,0.0,0.0636,0.803,99.07
513,Lazy Old Sun - Stereo Mix,The Kinks,Something Else (Deluxe Edition),166293,9,1967-09-15,14,0.503,0.715,0,0.888,1,0.0463,0.0907,0.0,0.346,0.366,103.745
514,Afternoon Tea - Stereo Mix,The Kinks,Something Else (Deluxe Edition),204826,10,1967-09-15,14,0.652,0.573,9,0.132,1,0.0358,0.435,0.0,0.0616,0.523,112.861
515,Funny Face - Stereo Mix,The Kinks,Something Else (Deluxe Edition),135960,11,1967-09-15,11,0.688,0.573,2,0.261,1,0.142,0.397,1.87e-05,0.0886,0.663,126.66
516,End of the Season - Stereo Mix,The Kinks,Something Else (Deluxe Edition),178453,12,1967-09-15,11,0.536,0.571,4,0.0,0,0.0311,0.161,0.0,0.313,0.301,106.109
517,Waterloo Sunset - Stereo Mix,The Kinks,Something Else (Deluxe Edition),197693,13,1967-09-15,30,0.555,0.642,1,0.199,0,0.0245,0.0716,0.0,0.16,0.582,107.554
518,Susannah's Still Alive,The Kinks,Something Else (Deluxe Edition),140946,14,1967-09-15,14,0.513,0.696,2,1.0,1,0.0368,0.0196,0.0,0.0889,0.69,111.55
519,Autumn Almanac - Stereo Mix,The Kinks,Something Else (Deluxe Edition),193653,15,1967-09-15,15,0.745,0.512,9,0.472,1,0.0498,0.153,0.00073,0.0656,0.666,120.102
520,Sand On My Shoes - Stereo Mix,The Kinks,Something Else (Deluxe Edition),188053,16,1967-09-15,11,0.731,0.544,0,0.6,1,0.0363,0.08,1.45e-06,0.215,0.634,119.371
521,Afternoon Tea - Stereo Alternate Version,The Kinks,Something Else (Deluxe Edition),221413,17,1967-09-15,9,0.678,0.591,9,0.329,0,0.029,0.155,0.0,0.0907,0.761,110.253
522,Mr. Pleasant - Stereo Alternate Version,The Kinks,Something Else (Deluxe Edition),195080,18,1967-09-15,11,0.696,0.651,11,0.624,0,0.0307,0.354,1.9e-06,0.0555,0.653,93.45
523,Lazy Old Sun - Stereo Alternate Vocal Version,The Kinks,Something Else (Deluxe Edition),193240,19,1967-09-15,8,0.461,0.661,0,0.757,1,0.0445,0.129,1.8e-05,0.136,0.307,104.037
524,Funny Face - Stereo Alternate Version,The Kinks,Something Else (Deluxe Edition),159813,20,1967-09-15,8,0.636,0.496,9,0.66,1,0.0518,0.359,0.0,0.162,0.502,125.901
525,Party Line - Mono Mix,The Kinks,Face to Face (Deluxe Edition),154893,1,1966-10-28,26,0.607,0.944,11,0.523,0,0.0951,0.485,2e-06,0.0505,0.725,105.74
526,Rosy Won't You Please Come Home - Mono Mix,The Kinks,Face to Face (Deluxe Edition),151800,2,1966-10-28,27,0.482,0.758,7,0.293,1,0.0332,0.431,0.0,0.073,0.916,119.996
527,Dandy - Mono Mix,The Kinks,Face to Face (Deluxe Edition),132280,3,1966-10-28,35,0.602,0.627,2,0.638,1,0.0274,0.175,0.0,0.134,0.865,92.094
528,Too Much On My Mind - Mono Mix,The Kinks,Face to Face (Deluxe Edition),148640,4,1966-10-28,26,0.625,0.504,9,0.277,1,0.0278,0.137,0.0,0.114,0.658,115.063
529,Session Man - Mono Mix,The Kinks,Face to Face (Deluxe Edition),132693,5,1966-10-28,22,0.486,0.702,2,0.735,1,0.0352,0.276,0.0,0.292,0.59,129.789
530,Rainy Day in June - Mono Mix,The Kinks,Face to Face (Deluxe Edition),192893,6,1966-10-28,23,0.396,0.448,4,0.717,0,0.0357,0.445,3.24e-06,0.107,0.325,96.475
531,House In the Country - Mono Mix,The Kinks,Face to Face (Deluxe Edition),180226,7,1966-10-28,23,0.55,0.706,4,0.942,1,0.0489,0.241,0.0,0.0574,0.921,145.866
532,Holiday in Waikiki - Mono Mix,The Kinks,Face to Face (Deluxe Edition),169626,8,1966-10-28,23,0.472,0.872,4,0.806,1,0.129,0.194,0.0585,0.407,0.743,98.221
533,Most Exclusive Residence for Sale - Mono Mix,The Kinks,Face to Face (Deluxe Edition),165733,9,1966-10-28,21,0.572,0.849,4,1.0,1,0.0417,0.245,0.0,0.0901,0.638,124.846
534,Fancy - Mono Mix,The Kinks,Face to Face (Deluxe Edition),149840,10,1966-10-28,20,0.6,0.377,7,0.034,1,0.0279,0.488,0.0148,0.0791,0.0851,120.719
535,Little Miss Queen of Darkness - Mono Mix,The Kinks,Face to Face (Deluxe Edition),195386,11,1966-10-28,24,0.679,0.498,2,0.346,1,0.0325,0.179,2.77e-06,0.0525,0.179,129.816
536,You're Looking Fine - Mono Mix,The Kinks,Face to Face (Deluxe Edition),166133,12,1966-10-28,27,0.709,0.749,4,0.031,1,0.0258,0.205,0.0304,0.178,0.681,100.561
537,Sunny Afternoon - Mono Mix,The Kinks,Face to Face (Deluxe Edition),210525,13,1966-10-28,65,0.595,0.462,2,0.022,0,0.0259,0.102,0.0,0.0641,0.526,124.991
538,I'll Remember - Mono Mix,The Kinks,Face to Face (Deluxe Edition),145066,14,1966-10-28,21,0.509,0.824,9,0.81,1,0.0513,0.314,0.0,0.26,0.752,130.37
539,Dead End Street - Mono Mix,The Kinks,Face to Face (Deluxe Edition),200531,15,1966-10-28,39,0.605,0.675,9,0.436,0,0.0598,0.727,0.00319,0.529,0.569,126.67
540,Big Black Smoke - Mono Mix,The Kinks,Face to Face (Deluxe Edition),154840,16,1966-10-28,21,0.377,0.872,2,0.477,1,0.0667,0.0268,0.0,0.351,0.851,166.296
541,This Is Where I Belong - Mono Mix,The Kinks,Face to Face (Deluxe Edition),142866,17,1966-10-28,21,0.409,0.8,7,0.66,1,0.0352,0.48,0.0,0.203,0.717,111.264
542,She's Got Everything - Mono Mix,The Kinks,Face to Face (Deluxe Edition),191226,18,1966-10-28,25,0.585,0.807,0,1.0,1,0.0891,0.0824,0.0,0.0652,0.786,145.982
543,Little Miss Queen of Darkness - Mono Alternate Take,The Kinks,Face to Face (Deluxe Edition),199373,19,1966-10-28,17,0.706,0.296,7,0.0,1,0.0361,0.202,1.48e-06,0.0569,0.0802,129.982
544,Dead End Street - Alternate Mono Version,The Kinks,Face to Face (Deluxe Edition),176333,20,1966-10-28,16,0.47,0.539,9,0.406,0,0.0429,0.344,0.000132,0.125,0.547,134.029
545,Party Line - Stereo Mix,The Kinks,Face to Face (Deluxe Edition),153093,1,1966-10-28,17,0.612,0.914,11,0.442,0,0.109,0.484,7.19e-06,0.0927,0.724,106.173
546,Rosy Won't You Please Come Home - Stereo Mix,The Kinks,Face to Face (Deluxe Edition),150653,2,1966-10-28,18,0.484,0.819,7,0.358,1,0.0357,0.279,0.0,0.118,0.956,119.85
547,Dandy - Stereo Mix,The Kinks,Face to Face (Deluxe Edition),129155,3,1966-10-28,20,0.61,0.627,2,0.641,1,0.0277,0.152,0.0,0.131,0.883,92.7
548,Too Much on My Mind - Stereo Mix,The Kinks,Face to Face (Deluxe Edition),145973,4,1966-10-28,17,0.626,0.511,2,0.54,1,0.0282,0.188,0.0,0.108,0.723,115.617
549,Session Man - Stereo Mix,The Kinks,Face to Face (Deluxe Edition),130320,5,1966-10-28,14,0.494,0.68,7,0.717,1,0.0305,0.00814,0.0,0.199,0.496,129.459
550,Rainy Day in June - Stereo Mix,The Kinks,Face to Face (Deluxe Edition),188026,6,1966-10-28,17,0.389,0.52,2,0.137,1,0.032,0.591,0.0,0.149,0.564,96.993
551,House in the Country - Stereo Mix,The Kinks,Face to Face (Deluxe Edition),182480,7,1966-10-28,15,0.535,0.747,4,0.879,1,0.0432,0.0949,0.0,0.0559,0.909,144.455
552,Holiday in Waikiki - Stereo Mix,The Kinks,Face to Face (Deluxe Edition),169066,8,1966-10-28,14,0.512,0.824,4,0.79,1,0.104,0.225,0.0626,0.433,0.659,98.772
553,Most Exclusive Residence for Sale - Stereo Mix,The Kinks,Face to Face (Deluxe Edition),167066,9,1966-10-28,13,0.573,0.72,4,0.821,1,0.0378,0.528,3e-05,0.493,0.698,125.571
554,Fancy - Stereo Mix,The Kinks,Face to Face (Deluxe Edition),146066,10,1966-10-28,25,0.606,0.376,7,0.032,1,0.0291,0.362,0.0201,0.0799,0.0907,121.432
555,Little Miss Queen of Darkness - Stereo Mix,The Kinks,Face to Face (Deluxe Edition),192733,11,1966-10-28,16,0.687,0.427,9,0.261,1,0.0317,0.109,1.37e-06,0.0607,0.216,130.778
556,You're Looking Fine - Stereo Mix,The Kinks,Face to Face (Deluxe Edition),164466,12,1966-10-28,14,0.71,0.683,4,0.017,1,0.0256,0.243,0.0181,0.203,0.683,101.231
557,Sunny Afternoon - Stereo Version,The Kinks,Face to Face (Deluxe Edition),214693,13,1966-10-28,41,0.555,0.553,0,0.402,1,0.0244,0.129,0.0,0.0687,0.446,61.997
558,I'll Remember - Stereo Mix,The Kinks,Face to Face (Deluxe Edition),147080,14,1966-10-28,14,0.5,0.851,9,0.663,1,0.0619,0.372,0.0,0.207,0.72,129.084
559,This Is Where I Belong - Stereo Mix,The Kinks,Face to Face (Deluxe Edition),164613,15,1966-10-28,14,0.457,0.703,7,0.614,1,0.0366,0.395,0.0,0.334,0.597,111.479
560,Big Black Smoke - Stereo Mix,The Kinks,Face to Face (Deluxe Edition),153000,16,1966-10-28,14,0.364,0.871,2,0.382,1,0.0631,0.00684,0.0,0.491,0.86,166.482
561,She's Got Everything - Stereo Mix,The Kinks,Face to Face (Deluxe Edition),189253,17,1966-10-28,17,0.566,0.806,0,1.0,1,0.143,0.0364,0.0,0.0754,0.739,146.136
562,You're Looking Fine - Alternate Stereo Mix,The Kinks,Face to Face (Deluxe Edition),171306,18,1966-10-28,10,0.739,0.611,4,0.022,1,0.031,0.255,0.000521,0.169,0.544,101.852
563,Sunny Afternoon - Alternate Stereo Mix,The Kinks,Face to Face (Deluxe Edition),228533,19,1966-10-28,19,0.6,0.58,7,0.192,1,0.0259,0.128,0.0,0.306,0.546,61.981
564,Fancy - Alternate Stereo Mix,The Kinks,Face to Face (Deluxe Edition),176880,20,1966-10-28,10,0.576,0.317,7,0.092,1,0.0312,0.667,5.34e-05,0.157,0.137,121.396
565,Little Miss Queen of Darkness - Alternate Stereo Mix,The Kinks,Face to Face (Deluxe Edition),201026,21,1966-10-28,11,0.659,0.488,2,0.663,1,0.0568,0.0529,0.0,0.315,0.222,130.98
566,Dandy - Alternate Stereo Mix,The Kinks,Face to Face (Deluxe Edition),134986,22,1966-10-28,12,0.604,0.674,2,0.566,1,0.0297,0.645,0.0,0.0849,0.955,92.815
567,Milk Cow Blues,The Kinks,The Kink Kontroversy,220893,1,1965-11-26,27,0.604,0.827,2,0.0,0,0.0436,0.574,0.5,0.227,0.476,92.542
568,Ring the Bells,The Kinks,The Kink Kontroversy,137506,2,1965-11-26,20,0.739,0.452,2,0.095,1,0.0265,0.674,0.0295,0.113,0.598,101.148
569,Gotta Get the First Plane Home,The Kinks,The Kink Kontroversy,105693,3,1965-11-26,21,0.48,0.782,0,1.0,1,0.078,0.31,0.000758,0.144,0.874,168.964
570,When I See That Girl of Mine,The Kinks,The Kink Kontroversy,129400,4,1965-11-26,19,0.58,0.801,7,0.847,1,0.033,0.104,0.0159,0.081,0.954,131.917
571,I Am Free,The Kinks,The Kink Kontroversy,146640,5,1965-11-26,18,0.286,0.546,0,1.0,1,0.0325,0.306,1.09e-05,0.113,0.69,188.774
572,Till the End of the Day - Mono Mix,The Kinks,The Kink Kontroversy,138226,6,1965-11-26,39,0.542,0.929,0,0.669,1,0.0784,0.526,0.00597,0.125,0.793,140.8
573,The World Keeps Going Round,The Kinks,The Kink Kontroversy,153493,7,1965-11-26,18,0.547,0.706,11,0.757,0,0.0785,0.435,0.145,0.0457,0.492,113.327
574,I'm On an Island,The Kinks,The Kink Kontroversy,134800,8,1965-11-26,20,0.654,0.644,1,0.363,0,0.0478,0.444,0.0104,0.124,0.69,125.002
575,Where Have All the Good Times Gone,The Kinks,The Kink Kontroversy,169093,9,1965-11-26,35,0.589,0.889,7,0.947,1,0.0415,0.505,2.15e-05,0.151,0.722,112.816
576,It's Too Late,The Kinks,The Kink Kontroversy,152533,10,1965-11-26,17,0.705,0.813,2,0.254,1,0.0339,0.743,0.163,0.181,0.949,115.746
577,What's In Store for Me,The Kinks,The Kink Kontroversy,123400,11,1965-11-26,16,0.413,0.925,7,0.658,1,0.101,0.266,2e-05,0.164,0.806,168.054
578,You Can't Win,The Kinks,The Kink Kontroversy,158533,12,1965-11-26,17,0.666,0.873,1,0.597,0,0.056,0.153,0.043,0.0807,0.819,118.46
579,Dedicated Follower of Fashion - Mono Mix,The Kinks,The Kink Kontroversy,180893,13,1965-11-26,41,0.406,0.879,0,0.854,1,0.0433,0.369,1.54e-06,0.41,0.885,172.994
580,Sittin' On My Sofa,The Kinks,The Kink Kontroversy,183866,14,1965-11-26,23,0.615,0.645,6,0.326,1,0.0341,0.0901,0.00781,0.153,0.715,114.73
581,When I See That Girl of Mine - Demo,The Kinks,The Kink Kontroversy,118693,15,1965-11-26,14,0.383,0.528,1,0.761,1,0.0309,0.176,0.00316,0.346,0.462,136.579
582,Dedicated Follower of Fashion - Alternate Version,The Kinks,The Kink Kontroversy,181240,16,1965-11-26,21,0.373,0.779,0,0.905,1,0.0362,0.112,0.00197,0.241,0.962,170.593
583,Look for Me Baby,The Kinks,Kinda Kinks,137813,1,1965-03-05,23,0.612,0.792,0,1.0,1,0.111,0.572,1.13e-06,0.174,0.724,121.116
584,Got My Feet On the Ground,The Kinks,Kinda Kinks,135040,2,1965-03-05,23,0.558,0.937,7,0.938,1,0.103,0.235,0.0,0.6,0.824,106.232
585,Nothin' In the World Can Stop Me Worryin' 'Bout That Girl,The Kinks,Kinda Kinks,164466,3,1965-03-05,44,0.612,0.277,2,0.441,0,0.0355,0.59,2.24e-05,0.118,0.444,98.581
586,Naggin' Woman,The Kinks,Kinda Kinks,156946,4,1965-03-05,21,0.706,0.586,0,0.903,1,0.0426,0.163,0.0,0.347,0.536,105.772
587,Wonder Where My Baby Is Tonight,The Kinks,Kinda Kinks,118266,5,1965-03-05,20,0.693,0.659,7,0.506,1,0.0425,0.415,0.0,0.331,0.748,90.841
588,Tired of Waiting for You,The Kinks,Kinda Kinks,149851,6,1965-03-05,45,0.674,0.731,0,0.713,1,0.0332,0.526,0.0,0.272,0.834,122.097
589,Dancing In the Street,The Kinks,Kinda Kinks,140293,7,1965-03-05,25,0.61,0.896,0,0.853,1,0.0359,0.0849,0.0,0.297,0.818,129.398
590,Don't Ever Change,The Kinks,Kinda Kinks,143693,8,1965-03-05,23,0.655,0.902,7,0.743,1,0.0319,0.515,0.00382,0.323,0.941,120.52
591,Come On Now,The Kinks,Kinda Kinks,108213,9,1965-03-05,41,0.511,0.9,0,1.0,1,0.0329,0.711,0.000156,0.12,0.718,164.37
592,So Long,The Kinks,Kinda Kinks,130666,10,1965-03-05,20,0.583,0.462,0,0.738,1,0.0309,0.785,0.0,0.105,0.46,107.532
593,You Shouldn't Be Sad,The Kinks,Kinda Kinks,120933,11,1965-03-05,19,0.419,0.898,4,0.463,0,0.0697,0.178,0.0,0.259,0.909,144.098
594,Something Better Beginning,The Kinks,Kinda Kinks,146120,12,1965-03-05,20,0.627,0.686,2,0.837,1,0.0264,0.214,0.0,0.0777,0.633,118.164
595,Ev'rybody's Gonna Be Happy,The Kinks,Kinda Kinks,133200,13,1965-03-05,29,0.404,0.903,2,0.076,0,0.097,0.114,0.0,0.0609,0.675,94.154
596,Who'll Be the Next In Line,The Kinks,Kinda Kinks,122626,14,1965-03-05,25,0.33,0.858,11,0.856,0,0.0552,0.052,0.0,0.0752,0.923,161.385
597,Set Me Free,The Kinks,Kinda Kinks,129779,15,1965-03-05,38,0.681,0.593,7,0.023,1,0.0691,0.774,0.0,0.111,0.808,119.501
598,I Need You,The Kinks,Kinda Kinks,145626,16,1965-03-05,31,0.628,0.917,0,0.888,1,0.0335,0.0129,0.0,0.0449,0.967,135.127
599,See My Friends,The Kinks,Kinda Kinks,164466,17,1965-03-05,27,0.476,0.749,8,0.447,0,0.0369,0.695,0.0,0.388,0.507,125.675
600,Never Met a Girl Like You Before,The Kinks,Kinda Kinks,124053,18,1965-03-05,19,0.647,0.911,9,0.48,1,0.088,0.552,0.0,0.342,0.675,113.018
601,Wait Till the Summer Comes Along,The Kinks,Kinda Kinks,128173,19,1965-03-05,20,0.596,0.634,9,0.139,1,0.0261,0.0898,0.0,0.109,0.918,99.543
602,Such a Shame,The Kinks,Kinda Kinks,137813,20,1965-03-05,19,0.749,0.747,4,0.469,0,0.0409,0.438,0.0,0.227,0.722,113.207
603,A Well Respected Man,The Kinks,Kinda Kinks,161586,21,1965-03-05,57,0.53,0.873,4,0.182,0,0.118,0.297,0.0,0.0521,0.583,162.154
604,Don't You Fret,The Kinks,Kinda Kinks,162533,22,1965-03-05,18,0.451,0.553,6,0.06,1,0.0412,0.0525,0.0,0.0508,0.248,101.029
605,I Go to Sleep - Demo Version,The Kinks,Kinda Kinks,162666,23,1965-03-05,39,0.658,0.0742,4,0.059,0,0.0961,0.979,0.000736,0.13,0.362,161.312
606,Beautiful Delilah,The Kinks,Kinks,125120,1,1964-10-02,33,0.506,0.95,7,0.115,0,0.0648,0.137,0.0,0.346,0.735,117.484
607,So Mystifying,The Kinks,Kinks,173173,2,1964-10-02,30,0.614,0.947,7,0.818,1,0.0402,0.0231,0.000147,0.256,0.846,108.036
608,Just Can't Go to Sleep - Mono Mix,The Kinks,Kinks,118960,3,1964-10-02,28,0.733,0.899,7,0.581,1,0.0321,0.537,9.19e-06,0.143,0.936,119.069
609,Long Tall Shorty,The Kinks,Kinks,171826,4,1964-10-02,30,0.667,0.792,0,0.481,1,0.0809,0.516,0.000137,0.0801,0.77,175.401
610,I Took My Baby Home,The Kinks,Kinks,109026,5,1964-10-02,28,0.356,0.969,9,0.422,1,0.3,0.507,0.0,0.314,0.602,161.014
611,I'm a Lover Not a Fighter,The Kinks,Kinks,123520,6,1964-10-02,27,0.7,0.966,2,0.151,1,0.0622,0.059,0.000119,0.096,0.57,119.198
612,You Really Got Me - Mono Mix,The Kinks,Kinks,134253,7,1964-10-02,71,0.573,0.939,8,0.558,1,0.0808,0.493,0.0,0.0994,0.963,137.382
613,Cadillac,The Kinks,Kinks,164600,8,1964-10-02,28,0.421,0.828,4,0.579,1,0.1,0.494,0.0,0.103,0.752,120.755
614,Bald Headed Woman,The Kinks,Kinks,161626,9,1964-10-02,26,0.612,0.792,2,0.428,1,0.0493,0.109,0.00394,0.0748,0.335,105.126
615,Revenge - Mono Mix,The Kinks,Kinks,89573,10,1964-10-02,26,0.577,0.875,5,0.055,0,0.0375,0.0199,0.0252,0.13,0.966,146.562
616,Too Much Monkey Business,The Kinks,Kinks,135240,11,1964-10-02,26,0.599,0.822,5,0.0,0,0.226,0.465,0.0,0.0545,0.921,98.469
617,I've Been Driving On Bald Mountain,The Kinks,Kinks,122186,12,1964-10-02,23,0.478,0.882,7,0.472,1,0.0539,0.265,0.0,0.542,0.885,186.408
618,Stop Your Sobbing,The Kinks,Kinks,125893,13,1964-10-02,41,0.712,0.812,7,0.694,1,0.0332,0.126,3.43e-05,0.207,0.967,121.983
619,Got Love if You Want It - Mono Mix,The Kinks,Kinks,226053,14,1964-10-02,25,0.599,0.785,5,0.536,0,0.0747,0.0358,1.03e-05,0.25,0.801,89.108
620,Long Tall Sally - Mono Mix,The Kinks,Kinks,131813,15,1964-10-02,25,0.443,0.95,11,0.228,0,0.135,0.211,0.0,0.134,0.611,143.522
621,You Still Want Me - Mono Mix,The Kinks,Kinks,118320,16,1964-10-02,25,0.546,0.901,4,0.383,1,0.17,0.699,0.0,0.252,0.745,146.293
622,You Do Something to Me,The Kinks,Kinks,143906,17,1964-10-02,25,0.393,0.907,9,0.051,0,0.0919,0.356,0.0,0.606,0.834,163.447
623,It's All Right,The Kinks,Kinks,156040,18,1964-10-02,23,0.236,0.9,7,0.209,1,0.0464,0.213,0.0,0.364,0.777,180.617
624,All Day and All of the Night,The Kinks,Kinks,141506,19,1964-10-02,67,0.551,0.86,7,1.0,1,0.0796,0.262,4.57e-06,0.0558,0.723,136.921
625,I Gotta Move,The Kinks,Kinks,143746,20,1964-10-02,29,0.617,0.888,5,0.441,1,0.032,0.236,0.000163,0.107,0.973,103.762
626,Louie Louie,The Kinks,Kinks,177480,21,1964-10-02,36,0.574,0.659,9,0.812,1,0.0512,0.0902,0.0,0.081,0.504,58.864
627,I Gotta Go Now,The Kinks,Kinks,173226,22,1964-10-02,22,0.571,0.514,9,0.365,1,0.0481,0.227,1.01e-05,0.0709,0.651,106.363
628,Things Are Getting Better,The Kinks,Kinks,114600,23,1964-10-02,21,0.559,0.869,2,0.443,1,0.102,0.189,0.0,0.0716,0.451,118.696
629,I've Got That Feeling,The Kinks,Kinks,162600,24,1964-10-02,24,0.574,0.763,6,0.016,0,0.0389,0.187,0.0,0.0892,0.852,127.698
630,Too Much Monkey Business - Alternate Take,The Kinks,Kinks,127893,25,1964-10-02,20,0.562,0.878,5,0.451,1,0.147,0.0213,0.0,0.369,0.958,117.194
631,I Don't Need You Anymore,The Kinks,Kinks,130906,26,1964-10-02,23,0.402,0.779,11,0.195,1,0.058,0.208,0.0,0.151,0.92,154.169
